t test_acc train_acc W_norm W_2_norm b_norm b_2_norm Z_2_norm time
114 1.9100e-01 2.0515e-01 1.2526e+00 2.5279e+00 6.6469e-01 4.6729e-01 2.3283e+04 1.3570e+01
115 1.9220e-01 2.0318e-01 1.2865e+00 2.5285e+00 6.6778e-01 5.0022e-01 2.3290e+04 1.3618e+01
116 2.6520e-01 2.8548e-01 1.2858e+00 2.5350e+00 6.6266e-01 4.2527e-01 2.3297e+04 1.3667e+01
117 2.5760e-01 2.7987e-01 1.2894e+00 2.5368e+00 6.6405e-01 4.2487e-01 2.3306e+04 1.3715e+01
118 2.2820e-01 2.4860e-01 1.2954e+00 2.5455e+00 6.5363e-01 4.7384e-01 2.3300e+04 1.3764e+01
119 2.5040e-01 2.6810e-01 1.3181e+00 2.5522e+00 6.5485e-01 4.2064e-01 2.3287e+04 1.3812e+01
120 2.3780e-01 2.6253e-01 1.3197e+00 2.5608e+00 6.5423e-01 4.3430e-01 2.3296e+04 1.3860e+01
121 2.1900e-01 2.4607e-01 1.3380e+00 2.5671e+00 6.5959e-01 4.5445e-01 2.3314e+04 1.3910e+01
122 2.4460e-01 2.5083e-01 1.3461e+00 2.5762e+00 6.5974e-01 4.0054e-01 2.3284e+04 1.3959e+01
123 2.5140e-01 2.5910e-01 1.3794e+00 2.5776e+00 6.6487e-01 3.7144e-01 2.3293e+04 1.4008e+01
124 2.7720e-01 2.9028e-01 1.3827e+00 2.5797e+00 6.5778e-01 3.6788e-01 2.3293e+04 1.4056e+01
125 2.7000e-01 2.9625e-01 1.3929e+00 2.5889e+00 6.6115e-01 3.9464e-01 2.3288e+04 1.4105e+01
126 2.7680e-01 3.0173e-01 1.4144e+00 2.6002e+00 6.6165e-01 4.1128e-01 2.3304e+04 1.4155e+01
127 3.2840e-01 3.4707e-01 1.4286e+00 2.6122e+00 6.5914e-01 3.0972e-01 2.3314e+04 1.4204e+01
128 3.2220e-01 3.4045e-01 1.4370e+00 2.6234e+00 6.6010e-01 3.2610e-01 2.3307e+04 1.4254e+01
