,accuracy_train,accuracy_test
284,0.8880333333333333,0.8642
285,0.8847666666666667,0.863
286,0.88575,0.8674
287,0.8855833333333333,0.868
288,0.88725,0.867
289,0.8854833333333333,0.8634
290,0.8874333333333333,0.8678
291,0.8868,0.8708
292,0.8875,0.8678
293,0.88545,0.8682
294,0.8861666666666667,0.8706
295,0.886,0.8716
296,0.8845,0.8674
297,0.8832,0.8674
298,0.8863,0.8668
299,0.88385,0.864
300,0.8876166666666667,0.8638
301,0.8841,0.8618
302,0.8861666666666667,0.8652
303,0.88595,0.8654
304,0.8886666666666667,0.8678
305,0.8867166666666667,0.862
306,0.8880166666666667,0.8644
307,0.8887666666666667,0.8634
308,0.8863833333333333,0.8626
309,0.8876333333333334,0.864
310,0.8879,0.871
311,0.8891833333333333,0.8732
312,0.884,0.8646
313,0.8853333333333333,0.8686
314,0.8872166666666667,0.8676
315,0.8875166666666666,0.8636
316,0.8884833333333333,0.8658
317,0.8879,0.863
318,0.8856333333333334,0.8564
319,0.8890333333333333,0.8646
320,0.8879333333333334,0.8618
321,0.8914666666666666,0.8652
322,0.88595,0.8662
323,0.8852833333333333,0.8654
324,0.89115,0.8766
325,0.88935,0.8674
326,0.8886833333333334,0.8708
327,0.88895,0.8708
328,0.8856333333333334,0.8692
329,0.8864833333333333,0.8684
330,0.8883166666666666,0.8714
331,0.8866666666666667,0.8674
332,0.8882666666666666,0.8738
333,0.8863166666666666,0.8668
334,0.8895333333333333,0.8722
335,0.88705,0.8682
336,0.8884333333333333,0.87
337,0.8866833333333334,0.8678
338,0.8895666666666666,0.8764
339,0.8856666666666667,0.862
340,0.8873,0.868
341,0.8848833333333334,0.8666
342,0.8862166666666667,0.8716
343,0.8876666666666667,0.8642
344,0.8896666666666667,0.871
345,0.8895,0.8728
346,0.8896833333333334,0.8668
347,0.8884833333333333,0.87
348,0.8877833333333334,0.8684
349,0.8875333333333333,0.8646
350,0.8896,0.8642
351,0.8865166666666666,0.8642
352,0.8860333333333333,0.8686
353,0.8875166666666666,0.8696
354,0.8879833333333333,0.8672
355,0.8885,0.863
356,0.8880333333333333,0.8644
357,0.8850166666666667,0.8576
358,0.88955,0.8678
359,0.88845,0.864
360,0.88685,0.8632
361,0.8874333333333333,0.862
362,0.8881,0.8656
363,0.8859166666666667,0.8618
364,0.8877666666666667,0.8688
365,0.8877333333333334,0.864
366,0.8873166666666666,0.8608
367,0.8904166666666666,0.8678
368,0.89075,0.8654
369,0.8887666666666667,0.8696
370,0.88855,0.87
371,0.8895333333333333,0.8748
372,0.8894833333333333,0.8654
373,0.88805,0.8688
374,0.8880333333333333,0.8654
375,0.88955,0.8686
376,0.88985,0.8728
377,0.88795,0.8706
378,0.8883833333333333,0.8718
379,0.8870833333333333,0.8712
380,0.8883833333333333,0.8724
381,0.8895666666666666,0.8706
382,0.8887833333333334,0.8746
383,0.8896333333333334,0.8754
384,0.8860833333333333,0.8652
385,0.88865,0.8696
386,0.8885,0.8674
387,0.8874666666666666,0.8628
388,0.89085,0.8678
389,0.8896166666666666,0.8686
390,0.8903833333333333,0.8686
391,0.88805,0.8682
392,0.88875,0.8692
393,0.89185,0.8682
394,0.8924833333333333,0.873
395,0.8925,0.8786
396,0.89065,0.8762
397,0.8904,0.8746
398,0.8879166666666667,0.8672
399,0.8880333333333333,0.8734
400,0.8869666666666667,0.875
401,0.8895666666666666,0.8754
402,0.8876333333333334,0.8648
403,0.88765,0.8698
404,0.8887666666666667,0.8648
405,0.8873333333333333,0.8654
406,0.8874833333333333,0.8648
407,0.88855,0.8724
408,0.8871,0.8646
409,0.8871333333333333,0.87
410,0.8873666666666666,0.8672
411,0.8869333333333334,0.8676
412,0.8903,0.8704
413,0.888,0.8694
414,0.8855666666666666,0.8684
415,0.8872666666666666,0.8654
416,0.8850166666666667,0.8672
417,0.8863333333333333,0.8614
418,0.8848833333333334,0.8678
419,0.8859666666666667,0.8652
420,0.88615,0.868
421,0.8856666666666667,0.869
422,0.8862833333333333,0.8654
423,0.88665,0.869
424,0.88715,0.8674
425,0.8875,0.8686
426,0.8893166666666666,0.8746
427,0.8891833333333333,0.8718
428,0.8879666666666667,0.8662
429,0.8884666666666666,0.868
430,0.88515,0.8636
431,0.8899666666666667,0.8746
432,0.8862666666666666,0.8688
433,0.8862,0.866
434,0.8880833333333333,0.8664
435,0.8872833333333333,0.8648
436,0.8862166666666667,0.862
437,0.8856333333333334,0.8662
438,0.8864833333333333,0.8628
439,0.8847666666666667,0.8662
440,0.88715,0.8688
441,0.8864333333333333,0.8618
442,0.88715,0.8706
443,0.8867333333333334,0.8662
444,0.8880666666666667,0.8652
445,0.8875166666666666,0.8678
446,0.8885333333333333,0.874
447,0.8875666666666666,0.8736
448,0.8846166666666667,0.8744
449,0.8834333333333333,0.8682
450,0.8820166666666667,0.8658
451,0.88535,0.8652
452,0.8844333333333333,0.8696
453,0.88395,0.8618
454,0.8843333333333333,0.8628
455,0.8878666666666667,0.8726
456,0.8862166666666667,0.8668
457,0.8895333333333333,0.8686
458,0.8860833333333333,0.864
459,0.8893,0.8794
460,0.8871333333333333,0.874
461,0.8863666666666666,0.8638
462,0.8870166666666667,0.8716
463,0.8874833333333333,0.873
464,0.8861,0.8696
465,0.8859,0.8662
466,0.8886333333333334,0.8724
467,0.8886833333333334,0.8698
468,0.8913666666666666,0.8752
469,0.8850333333333333,0.8634
470,0.8875,0.8622
471,0.8839333333333333,0.8616
472,0.88715,0.8658
473,0.8865833333333333,0.8654
474,0.8853666666666666,0.8642
475,0.8876333333333334,0.8688
476,0.8883333333333333,0.8698
477,0.88885,0.87
478,0.8849833333333333,0.8678
479,0.8870833333333333,0.8696
480,0.8860833333333333,0.863
481,0.88675,0.8706
482,0.8881333333333333,0.8648
483,0.8876333333333334,0.869
484,0.8876833333333334,0.8738
485,0.8867666666666667,0.8646
486,0.8881833333333333,0.874
487,0.8856,0.8616
488,0.8863,0.8694
489,0.88935,0.8672
490,0.88765,0.8708
491,0.8874333333333333,0.8678
492,0.8860166666666667,0.8694
493,0.8853666666666666,0.8622
494,0.8892666666666666,0.8748
495,0.8854666666666666,0.8674
496,0.88545,0.8686
497,0.88715,0.8646
