,accuracy_train,accuracy_test,W_norm,a_norm,W_bias_norm,a_bias_norm
53,0.9354333333333333,0.9056,0.03804177790880203,0.843809187412262,0.03702053427696228,0.35383427143096924
54,0.9343333333333333,0.9076,0.03810136020183563,0.8464431166648865,0.04060886800289154,0.3538331687450409
55,0.93705,0.912,0.03817684203386307,0.8451720476150513,0.03608519956469536,0.3031282126903534
56,0.9358833333333333,0.9056,0.03787985071539879,0.8450636863708496,0.04538210481405258,0.2696358263492584
57,0.9358833333333333,0.9056,0.03787985071539879,0.8450636863708496,0.04538210481405258,0.2696358263492584
58,0.9381166666666667,0.9146,0.03786145895719528,0.8627333641052246,0.049288876354694366,0.2562447786331177
59,0.9355666666666667,0.9042,0.03736226260662079,0.8421044945716858,0.04006705433130264,0.22334562242031097
60,0.9369833333333333,0.911,0.03803732618689537,0.8553003072738647,0.038718536496162415,0.32961010932922363
61,0.9369833333333333,0.911,0.03803732618689537,0.8553003072738647,0.038718536496162415,0.32961010932922363
62,0.9355166666666667,0.9096,0.03771498426795006,0.8426506519317627,0.03412031754851341,0.315455824136734
63,0.9366166666666667,0.9118,0.03783070668578148,0.8787830471992493,0.031810905784368515,0.3720003068447113
64,0.9363166666666667,0.909,0.03753463923931122,0.8650227189064026,0.04445074498653412,0.28845664858818054
65,0.93675,0.914,0.037533409893512726,0.8429626226425171,0.0345124676823616,0.3433585464954376
66,0.93635,0.913,0.03754660114645958,0.8280083537101746,0.025617003440856934,0.43380579352378845
67,0.9378666666666666,0.9112,0.037781842052936554,0.8260927200317383,0.02693522721529007,0.4348394274711609
68,0.9365833333333333,0.9096,0.03745955601334572,0.8426974415779114,0.02226993627846241,0.4346283972263336
69,0.9365833333333333,0.9096,0.03745955601334572,0.8426974415779114,0.02226993627846241,0.4346283972263336
70,0.9380666666666667,0.9156,0.037711624056100845,0.8621949553489685,0.019819112494587898,0.34392082691192627
71,0.9361666666666667,0.9138,0.03747735172510147,0.8597700595855713,0.027269694954156876,0.35895752906799316
72,0.9369833333333333,0.9156,0.03777693212032318,0.8732165098190308,0.033141572028398514,0.25099819898605347
73,0.9370166666666667,0.9118,0.03731956705451012,0.8458505272865295,0.027618054300546646,0.1933368742465973
74,0.93775,0.9112,0.03742972016334534,0.8391183614730835,0.030336841940879822,0.2167111337184906
75,0.9371666666666667,0.915,0.037688933312892914,0.8470504283905029,0.029957925900816917,0.25296899676322937
76,0.9374666666666667,0.9126,0.03747066482901573,0.8286687731742859,0.024476878345012665,0.23966097831726074
77,0.9372666666666667,0.9146,0.037457145750522614,0.8533056974411011,0.028924332931637764,0.24541306495666504
78,0.9372666666666667,0.9146,0.037457145750522614,0.8533056974411011,0.028924332931637764,0.24541306495666504
79,0.9372666666666667,0.9146,0.037457145750522614,0.8533056974411011,0.028924332931637764,0.24541306495666504
80,0.93685,0.9062,0.037590619176626205,0.8446905612945557,0.040948156267404556,0.20799586176872253
81,0.9366166666666667,0.9096,0.03758427873253822,0.8489751219749451,0.038613177835941315,0.3009556829929352
82,0.9366166666666667,0.9096,0.03758427873253822,0.8489751219749451,0.038613177835941315,0.3009556829929352
83,0.9361166666666667,0.9088,0.03774433583021164,0.8653283715248108,0.048301056027412415,0.3239654004573822
84,0.93595,0.9142,0.037711240351200104,0.8361459374427795,0.04129164293408394,0.3377569019794464
85,0.9374166666666667,0.9076,0.03743976727128029,0.8343636989593506,0.05191351845860481,0.33415162563323975
86,0.9354333333333333,0.9104,0.03766939043998718,0.8432313799858093,0.058256518095731735,0.37509170174598694
87,0.9370333333333334,0.9128,0.03772755712270737,0.8151775598526001,0.055547237396240234,0.2748892307281494
88,0.9370333333333334,0.9128,0.03772755712270737,0.8151775598526001,0.055547237396240234,0.2748892307281494
89,0.93675,0.9088,0.037250664085149765,0.8396592736244202,0.04624875262379646,0.2859887182712555
90,0.9362833333333334,0.9106,0.03741678595542908,0.8542132377624512,0.041819918900728226,0.37280339002609253
91,0.9362833333333334,0.9106,0.03741678595542908,0.8542132377624512,0.041819918900728226,0.37280339002609253
92,0.9373666666666667,0.9126,0.03750142082571983,0.8368728160858154,0.0347747765481472,0.2934945225715637
93,0.9373666666666667,0.9126,0.03750142082571983,0.8368728160858154,0.0347747765481472,0.2934945225715637
94,0.9375833333333333,0.9134,0.03770231455564499,0.840245246887207,0.024527164176106453,0.3230871260166168
95,0.9383166666666667,0.9156,0.03755132853984833,0.8699744939804077,0.026466472074389458,0.38280314207077026
96,0.9383166666666667,0.9156,0.03755132853984833,0.8699744939804077,0.026466472074389458,0.38280314207077026
97,0.9383166666666667,0.9156,0.03755132853984833,0.8699744939804077,0.026466472074389458,0.38280314207077026
98,0.9383166666666667,0.9156,0.03755132853984833,0.8699744939804077,0.026466472074389458,0.38280314207077026
99,0.9380166666666667,0.9146,0.03736969828605652,0.8536046147346497,0.0375029481947422,0.33027660846710205
100,0.9380166666666667,0.9146,0.03736969828605652,0.8536046147346497,0.0375029481947422,0.33027660846710205
101,0.93805,0.9158,0.037463732063770294,0.836584210395813,0.039463479071855545,0.2892911732196808
102,0.9370666666666667,0.91,0.037392228841781616,0.8293548226356506,0.04672175273299217,0.30006128549575806
103,0.9371166666666667,0.914,0.03730497509241104,0.8411608338356018,0.04160628095269203,0.3199801445007324
104,0.935,0.9112,0.037393804639577866,0.845977783203125,0.038980498909950256,0.3674166798591614
105,0.9372,0.9126,0.037548795342445374,0.8800232410430908,0.03064865805208683,0.3946373760700226
