t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
90 8.5860e-01 8.6555e-01 1.3359e-01 7.9504e-01 2.0193e-02 1.0465e-01 9.1505e-01
91 8.7580e-01 8.7855e-01 1.3092e-01 7.9781e-01 2.1791e-02 1.0115e-01 9.2464e-01
92 8.7180e-01 8.6595e-01 1.3462e-01 8.0541e-01 2.0484e-02 1.0291e-01 9.3424e-01
93 8.8380e-01 8.7342e-01 1.3308e-01 8.1355e-01 1.8387e-02 9.8160e-02 9.4381e-01
94 8.7920e-01 8.7363e-01 1.3325e-01 8.1491e-01 2.4634e-02 9.8632e-02 9.5342e-01
95 8.8980e-01 8.8728e-01 1.3455e-01 8.1958e-01 2.1392e-02 1.0660e-01 9.6319e-01
96 8.3040e-01 8.3237e-01 1.3642e-01 8.2509e-01 1.9770e-02 1.0518e-01 9.7298e-01
97 8.1040e-01 8.2580e-01 1.4196e-01 8.2754e-01 1.7251e-02 1.0604e-01 9.8253e-01
98 8.3120e-01 8.4502e-01 1.4219e-01 8.3328e-01 1.5701e-02 1.0598e-01 9.9211e-01
99 8.0020e-01 8.2470e-01 1.4047e-01 8.4083e-01 8.4667e-03 1.0492e-01 1.0017e+00
100 8.1160e-01 8.3173e-01 1.4210e-01 8.4634e-01 9.7358e-03 1.0745e-01 1.0113e+00
101 8.1040e-01 8.3258e-01 1.4451e-01 8.4701e-01 1.2442e-02 1.0620e-01 1.0209e+00
102 8.1580e-01 8.3697e-01 1.4783e-01 8.5475e-01 8.6806e-03 1.0873e-01 1.0305e+00
103 8.0800e-01 8.3157e-01 1.4613e-01 8.5877e-01 6.7470e-03 1.1407e-01 1.0403e+00
104 8.0340e-01 8.2798e-01 1.5487e-01 8.6411e-01 7.2649e-03 1.1514e-01 1.0499e+00
105 8.0680e-01 8.3050e-01 1.5246e-01 8.7319e-01 9.8210e-03 1.2189e-01 1.0595e+00
106 7.9300e-01 8.1673e-01 1.5489e-01 8.7819e-01 9.6415e-03 1.2053e-01 1.0692e+00
107 7.8880e-01 8.1305e-01 1.5238e-01 8.7620e-01 7.7969e-03 1.1256e-01 1.0790e+00
108 7.8260e-01 8.0772e-01 1.5596e-01 8.8593e-01 1.2379e-02 1.1427e-01 1.0886e+00
109 7.8780e-01 8.0453e-01 1.6043e-01 8.8950e-01 9.9994e-03 1.1381e-01 1.0981e+00
110 7.7960e-01 7.8898e-01 1.6345e-01 8.9729e-01 1.3634e-02 1.1482e-01 1.1077e+00
111 7.6140e-01 7.6947e-01 1.6754e-01 9.0272e-01 1.1808e-02 1.1274e-01 1.1173e+00
112 7.5000e-01 7.5170e-01 1.6709e-01 9.0054e-01 1.2423e-02 1.0993e-01 1.1270e+00
113 7.4760e-01 7.5257e-01 1.6842e-01 9.0531e-01 1.3953e-02 1.0600e-01 1.1366e+00
114 7.5520e-01 7.6227e-01 1.6726e-01 9.0852e-01 1.5024e-02 1.0500e-01 1.1462e+00
115 7.4700e-01 7.4797e-01 1.6662e-01 9.0681e-01 1.6136e-02 1.0723e-01 1.1557e+00
116 7.5500e-01 7.6303e-01 1.6960e-01 9.0976e-01 2.0908e-02 1.0523e-01 1.1655e+00
117 7.5400e-01 7.5860e-01 1.7301e-01 9.1040e-01 2.0122e-02 1.0892e-01 1.1751e+00
118 7.3940e-01 7.4817e-01 1.6975e-01 9.1282e-01 2.0904e-02 1.1612e-01 1.1849e+00
119 7.3800e-01 7.4322e-01 1.6638e-01 9.1500e-01 2.0169e-02 1.1854e-01 1.1945e+00
120 7.3320e-01 7.3755e-01 1.6471e-01 9.1577e-01 2.4377e-02 1.2059e-01 1.2042e+00
121 7.3440e-01 7.3802e-01 1.6114e-01 9.2212e-01 2.4279e-02 1.2076e-01 1.2138e+00
122 7.2660e-01 7.2283e-01 1.5916e-01 9.2256e-01 2.1991e-02 1.2404e-01 1.2234e+00
123 7.2620e-01 7.1990e-01 1.5946e-01 9.2870e-01 2.0895e-02 1.2753e-01 1.2332e+00
124 7.2720e-01 7.2060e-01 1.6153e-01 9.3739e-01 1.7691e-02 1.2221e-01 1.2427e+00
125 7.2100e-01 7.2122e-01 1.6292e-01 9.4147e-01 1.4854e-02 1.2017e-01 1.2525e+00
126 7.2720e-01 7.2695e-01 1.5923e-01 9.5001e-01 1.5337e-02 1.1957e-01 1.2621e+00
127 7.3440e-01 7.3978e-01 1.5678e-01 9.5528e-01 1.4800e-02 1.2030e-01 1.2717e+00
128 7.3160e-01 7.3933e-01 1.6122e-01 9.6577e-01 1.4819e-02 1.2137e-01 1.2813e+00
129 7.3100e-01 7.3727e-01 1.5950e-01 9.7371e-01 1.9796e-02 1.2401e-01 1.2908e+00
130 7.2360e-01 7.2577e-01 1.5779e-01 9.8016e-01 2.0801e-02 1.2426e-01 1.3004e+00
131 7.1980e-01 7.2505e-01 1.5788e-01 9.8557e-01 2.8272e-02 1.2505e-01 1.3102e+00
132 7.1760e-01 7.1838e-01 1.5672e-01 9.8956e-01 3.1528e-02 1.2402e-01 1.3197e+00
133 7.1200e-01 7.0990e-01 1.6179e-01 9.9733e-01 3.2549e-02 1.2377e-01 1.3293e+00
134 7.1600e-01 7.1268e-01 1.6710e-01 1.0041e+00 3.6558e-02 1.2055e-01 1.3389e+00
135 7.0700e-01 7.0432e-01 1.7143e-01 1.0079e+00 3.7011e-02 1.2145e-01 1.3487e+00
136 7.0700e-01 7.0545e-01 1.7811e-01 1.0122e+00 3.8363e-02 1.2539e-01 1.3582e+00
137 7.0060e-01 6.9365e-01 1.7387e-01 1.0108e+00 4.4225e-02 1.2686e-01 1.3680e+00
138 7.0780e-01 6.9972e-01 1.7710e-01 1.0097e+00 4.3246e-02 1.2240e-01 1.3776e+00
139 7.0960e-01 7.0438e-01 1.8202e-01 1.0160e+00 4.2807e-02 1.2469e-01 1.3872e+00
140 7.0020e-01 6.9417e-01 1.8497e-01 1.0200e+00 3.9584e-02 1.2317e-01 1.3968e+00
141 7.0380e-01 7.0427e-01 1.9205e-01 1.0219e+00 3.5331e-02 1.2376e-01 1.4064e+00
142 7.0340e-01 7.0265e-01 1.9377e-01 1.0240e+00 3.7590e-02 1.2950e-01 1.4162e+00
143 7.0180e-01 6.9458e-01 1.9917e-01 1.0276e+00 3.5759e-02 1.2768e-01 1.4257e+00
144 7.0280e-01 6.9443e-01 2.0745e-01 1.0336e+00 3.8152e-02 1.2737e-01 1.4353e+00
145 6.9940e-01 6.9122e-01 2.0766e-01 1.0401e+00 4.6878e-02 1.3049e-01 1.4449e+00
146 7.0560e-01 6.9187e-01 2.0923e-01 1.0489e+00 5.1980e-02 1.2795e-01 1.4545e+00
147 7.0720e-01 6.9245e-01 2.1512e-01 1.0493e+00 5.0223e-02 1.2869e-01 1.4643e+00
148 7.0640e-01 6.9767e-01 2.1921e-01 1.0515e+00 5.0206e-02 1.2800e-01 1.4739e+00
149 7.0980e-01 6.9878e-01 2.1621e-01 1.0535e+00 5.0619e-02 1.2442e-01 1.4835e+00
150 6.9880e-01 6.8652e-01 2.1674e-01 1.0584e+00 4.0385e-02 1.2877e-01 1.4931e+00
151 7.0700e-01 6.9975e-01 2.1844e-01 1.0615e+00 3.9809e-02 1.2536e-01 1.5026e+00
152 7.0160e-01 6.9713e-01 2.1688e-01 1.0622e+00 4.1705e-02 1.2583e-01 1.5122e+00
153 6.9480e-01 6.8815e-01 2.2137e-01 1.0667e+00 4.8151e-02 1.2736e-01 1.5218e+00
154 6.9440e-01 6.8377e-01 2.3006e-01 1.0757e+00 4.5742e-02 1.2780e-01 1.5316e+00
